# {"t_start": 1687708283.503118, "env_id": "Point2DLargeEnv-v1"} 
r,l,t
-10.0,50,43.22428
0.0,50,43.252758
-11.0,50,43.281322
-9.0,50,43.311672
-16.0,50,43.342074
-10.0,50,43.370339
-7.0,50,43.397864
-12.0,50,43.426085
-10.0,50,43.455589
-10.0,50,43.483534
-1.0,50,43.512133
-7.0,50,43.542933
-16.0,50,43.573469
-9.0,50,43.605423
-11.0,50,43.634691
-4.0,50,43.664121
-14.0,50,43.692698
-3.0,50,43.722027
-7.0,50,43.753072
-4.0,50,43.78328
-1.0,50,43.812629
-11.0,50,43.842866
0.0,50,43.870291
-8.0,50,43.896688
-9.0,50,43.925077
-10.0,50,43.956173
-4.0,50,43.983289
-5.0,50,44.011191
-10.0,50,44.039251
-10.0,50,44.067882
-6.0,50,44.099153
-8.0,50,44.12781
-15.0,50,44.15739
-10.0,50,44.184459
-9.0,50,44.214413
-2.0,50,44.247951
-11.0,50,44.285562
-15.0,50,44.818097
-10.0,50,44.851334
0.0,50,44.888313
-10.0,50,44.923975
-1.0,50,44.961454
-7.0,50,44.995196
-6.0,50,45.024157
-5.0,50,45.054598
-9.0,50,45.084095
-9.0,50,45.118306
0.0,50,45.149988
-13.0,50,45.180782
-12.0,50,45.209903
-8.0,50,45.238852
-11.0,50,45.26906
-13.0,50,45.299867
-11.0,50,45.328844
0.0,50,45.360612
-10.0,50,45.392534
-16.0,50,45.426072
-9.0,50,45.463401
-4.0,50,45.499439
-13.0,50,45.53477
-9.0,50,45.56708
-15.0,50,45.602493
-6.0,50,45.639598
-7.0,50,45.677808
-13.0,50,45.713473
-3.0,50,45.750591
-14.0,50,45.786404
-12.0,50,45.815604
-2.0,50,45.845091
-14.0,50,45.876198
-18.0,50,45.90453
-13.0,50,45.93286
-8.0,50,45.962895
-11.0,50,45.992138
-1.0,50,46.020671
-5.0,50,46.056968
-4.0,50,46.094203
-8.0,50,46.133123
-11.0,50,46.165435
-13.0,50,46.197185
-11.0,50,46.227866
-2.0,50,46.260139
-11.0,50,46.293852
-4.0,50,46.331306
-13.0,50,46.362509
